Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
"Skills, capacities and services for climate adaptive livelihoods",3.1,People and communities have access to productive assets to better cope with shocks and stressors,G.1,Number of people covered by an insurance product through risk transfer mechanisms supported by WFP,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,52500,48646,93%
"Skills, capacities and services for climate adaptive livelihoods",3.1,People and communities have access to productive assets to better cope with shocks and stressors,G.3,Total sum insured through risk management interventions,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,1055881,1093050,104%
"Skills, capacities and services for climate adaptive livelihoods",3.1,People and communities have access to productive assets to better cope with shocks and stressors,G.8,Number of people provided with direct access to information on climate and weather risks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,7,9,125181,49668,40%
"Skills, capacities and services for climate adaptive livelihoods",3.1,People and communities have access to productive assets to better cope with shocks and stressors,G.9,Number of people covered and assisted through forecast-based anticipatory actions against climate shocks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,260000,28045,11%
"Skills, capacities and services for climate adaptive livelihoods",3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",G.1,Number of people covered by an insurance product through risk transfer mechanisms supported by WFP,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,14,18,2031963,2096320,103%
"Skills, capacities and services for climate adaptive livelihoods",3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",G.3,Total sum insured through risk management interventions,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,13,18,74404722,70412998,95%
"Skills, capacities and services for climate adaptive livelihoods",3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",G.8,Number of people provided with direct access to information on climate and weather risks,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,18,37,5827868,4750597,82%
"Skills, capacities and services for climate adaptive livelihoods",3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",G.9,Number of people covered and assisted through forecast-based anticipatory actions against climate shocks,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,8,1274230,491391,39%
"Skills, capacities and services for climate adaptive livelihoods",3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",G.1,Number of people covered by an insurance product through risk transfer mechanisms supported by WFP,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,5,1419660,1382809,97%
"Skills, capacities and services for climate adaptive livelihoods",3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",G.3,Total sum insured through risk management interventions,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,5,132512666,190424676,144%
"Skills, capacities and services for climate adaptive livelihoods",3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",G.8,Number of people provided with direct access to information on climate and weather risks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,13,1314947,1033602,79%
"Skills, capacities and services for climate adaptive livelihoods",3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",G.9,Number of people covered and assisted through forecast-based anticipatory actions against climate shocks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,215887,0,0%
"Skills, capacities and services for climate adaptive livelihoods",4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",G.1,Number of people covered by an insurance product through risk transfer mechanisms supported by WFP,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,808508,633846,78%
"Skills, capacities and services for climate adaptive livelihoods",4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",G.3,Total sum insured through risk management interventions,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,23602499,20084798,85%
"Skills, capacities and services for climate adaptive livelihoods",4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",G.8,Number of people provided with direct access to information on climate and weather risks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,5,30995,6412,21%
"Skills, capacities and services for climate adaptive livelihoods",4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",G.9,Number of people covered and assisted through forecast-based anticipatory actions against climate shocks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,20840,0,0%
"Skills, capacities and services for climate adaptive livelihoods",4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",G.1,Number of people covered by an insurance product through risk transfer mechanisms supported by WFP,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,190000,207364,109%
"Skills, capacities and services for climate adaptive livelihoods",4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",G.3,Total sum insured through risk management interventions,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,5700000,5777440,101%
"Skills, capacities and services for climate adaptive livelihoods",4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",G.8,Number of people provided with direct access to information on climate and weather risks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,6,2818499,832667,30%
"Skills, capacities and services for climate adaptive livelihoods",4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",G.9,Number of people covered and assisted through forecast-based anticipatory actions against climate shocks,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,1983866,22371,1%
Smallholder farmers supported,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",F.2,Total membership of supported smallholder farmer aggregation systems,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,200,200,100%
Smallholder farmers supported,2.3,School-age children and adolescents have access to school-based health and nutrition packages,F.2,Total membership of supported smallholder farmer aggregation systems,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,6,13264,12869,97%
Smallholder farmers supported,2.3,School-age children and adolescents have access to school-based health and nutrition packages,F.3,Number of smallholder farmer aggregation systems supported,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,109,175,161%
Smallholder farmers supported,3.1,People and communities have access to productive assets to better cope with shocks and stressors,F.2,Total membership of supported smallholder farmer aggregation systems,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,6200,5786,93%
Smallholder farmers supported,3.1,People and communities have access to productive assets to better cope with shocks and stressors,F.3,Number of smallholder farmer aggregation systems supported,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,222,218,98%
Smallholder farmers supported,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",F.2,Total membership of supported smallholder farmer aggregation systems,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,9,2249,2256,100%
Smallholder farmers supported,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",F.3,Number of smallholder farmer aggregation systems supported,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,64,61,95%
Smallholder farmers supported,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",F.2,Total membership of supported smallholder farmer aggregation systems,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,32,65,854801,806919,94%
Smallholder farmers supported,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",F.3,Number of smallholder farmer aggregation systems supported,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,30,52,8517,7779,91%
Smallholder farmers supported,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",F.2,Total membership of supported smallholder farmer aggregation systems,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,100,69,69%
Smallholder farmers supported,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",F.3,Number of smallholder farmer aggregation systems supported,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,4,55,96,175%
Social and behaviour change communication (SBCC) provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,13,17,1353704,1670669,123%
Social and behaviour change communication (SBCC) provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,3,70800,88714,125%
Social and behaviour change communication (SBCC) provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,22,37,12202632,14817954,121%
Social and behaviour change communication (SBCC) provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,7,500276,467847,94%
Social and behaviour change communication (SBCC) provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,9,10,575039,1281526,223%
Social and behaviour change communication (SBCC) provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,261877,169510,65%
Social and behaviour change communication (SBCC) provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,41,59,7514048,8187288,109%
Social and behaviour change communication (SBCC) provided,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,18,19,29621468,27376308,92%
Social and behaviour change communication (SBCC) provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,8,420015,807735,192%
Social and behaviour change communication (SBCC) provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,53375,329330,617%
Social and behaviour change communication (SBCC) provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,5,1681,2368,141%
Social and behaviour change communication (SBCC) provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,0,0,N/A
Social and behaviour change communication (SBCC) provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,11,11,851344,399770,47%
Social and behaviour change communication (SBCC) provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,6,66000,165988,251%
Social and behaviour change communication (SBCC) provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,6,748800,749792,100%
Social and behaviour change communication (SBCC) provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,15200,0,0%
Social and behaviour change communication (SBCC) provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,5,414052446,414112127,100%
Social and behaviour change communication (SBCC) provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",E.5,"Number of people reached through SBCC approaches using media (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,95100,164387,173%
Social and behaviour change communication (SBCC) provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",E.4,"Number of people reached through interpersonal social and behaviour change communication (SBCC) approaches (complementary with UNICEF, FAO, WFP, WHO)",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,13633,13301,98%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.4,Percentage of assets created through Food Assistance for Assets (FFA) monitored through the Asset Impact Monitoring from Space (AIMS) service identified as visible or maintained,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,4,56,58,103%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.4,Percentage of assets created through Food Assistance for Assets (FFA) monitored through the Asset Impact Monitoring from Space (AIMS) service identified as visible or maintained,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,6,97,98,100%
"Skills, capacities and services for climate adaptive livelihoods",1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,18,50,28,56%
"Skills, capacities and services for climate adaptive livelihoods",1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,6,17,17,100%
"Skills, capacities and services for climate adaptive livelihoods",2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,12,50,50,100%
"Skills, capacities and services for climate adaptive livelihoods",3.1,People and communities have access to productive assets to better cope with shocks and stressors,G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,6,0,100,N/A
"Skills, capacities and services for climate adaptive livelihoods",3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,11,78,60,67,111%
"Skills, capacities and services for climate adaptive livelihoods",3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,18,67,67,100%
"Skills, capacities and services for climate adaptive livelihoods",4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,30,43,33,77%
"Skills, capacities and services for climate adaptive livelihoods",4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",G.7,Percentage of tools developed or reviewed to strengthen national systems for forecast based anticipatory action,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,10,60,65,60,92%
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,2,2,100%
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.1.2,Number of countries that achieved 80% (or higher) of their targeted school feeding days in emergency contexts,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,8,8,8,5,62%
School feeding provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,5,3,60%
School feeding provided,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,1,1,100%
School feeding provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,3,1,0,0%
School feeding provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,3,1,1,100%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,24,30,24,19,79%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.1.2,Number of countries that achieved 80% (or higher) of their targeted school feeding days in emergency contexts,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,2,2,100%
School feeding provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,20,25,20,17,85%
School feeding provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,6,6,3,50%
School feeding provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,4,4,1,25%
School feeding provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,2,1,50%
School feeding provided,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,2,1,50%
School feeding provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",N.1.1,Number of countries that achieved 80% (or higher) of their targeted school feeding days,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,1,1,100%
School feeding provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",N.2,Number of countries that provided multi-fortified or at least 4 food groups on 80% (or more) of their targeted average number of days per month,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,1,1,100%
Shared services and platforms provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",H.2,"Number and type of clusters established that provide coordination, platforms for information exchange and support services to enable humanitarian/peace/development actions",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,1,1,100%
Shared services and platforms provided,4.2,"Components of national emergency preparedness and response, social protection and food systems are strengthened",H.2,"Number and type of clusters established that provide coordination, platforms for information exchange and support services to enable humanitarian/peace/development actions",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,2,1,50%
Shared services and platforms provided,5.1,"Governments and humanitarian actors utilize mandated services in crisis-settings to set-up, manage and deliver response and services",H.2,"Number and type of clusters established that provide coordination, platforms for information exchange and support services to enable humanitarian/peace/development actions",N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,12,24,20,20,100%
Shared services and platforms provided,5.2,"Partners utilize on-demand services to augment their capacity and ensure more efficient, effective and coordinated interventions",H.2,"Number and type of clusters established that provide coordination, platforms for information exchange and support services to enable humanitarian/peace/development actions",N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,6,5,5,100%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,15,122,727607,655385,90%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,9,70,1422782,1109771,78%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.4,"Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through emergency school‑based programmes (complementary with UNICEF, UNHCR, WFP)",N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,12,91,2177001,2327898,107%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.5,Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,8,78,1236897,909226,74%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.6,"Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers under food assistance for assets (complementary with ILO, UNDP, World Bank, UNHCR, UNICEF)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,7,74,2764803,2057308,74%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.7,"Number of people in emergency contexts receiving assistance unconditionally or to restore infrastructure and community assets (complementary with UNICEF, Office of the United Nations High Commissioner for Refugees (UNHCR), WFP)",N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,77,1032,101556102,100782461,99%
Resources transferred,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",A.1.8,"Number of women, men, boys and girls receiving food/cash-based/commodity vouchers/individual capacity strengthening transfers through actions to protect against climate shocks",N/A,FALSE,N/A,Output,ACR,Level2Beneficiary,8,100,504569,114111,23%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,26,333,29802861,18234414,61%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,2,8,167025,84891,51%
